x,y
0.322262,-1.859271
0.353575,-1.846344
0.325729,-1.857840
0.367499,-1.840596
0.353575,-1.846344
0.840746,-1.645231
0.367499,-1.840596
0.854669,-1.639483
0.840746,-1.645231
0.882516,-1.627987
0.854669,-1.639483
0.885983,-1.626556
0.882516,-1.627987
0.928870,-1.608851
0.885983,-1.626556
0.973786,-1.590309
0.928870,-1.608851
0.977446,-1.588798
0.973786,-1.590309
1.007060,-1.576573
0.977446,-1.588798
1.022042,-1.570388
1.007060,-1.576573
1.459835,-1.389658
1.022042,-1.570388
1.474817,-1.383473
1.459835,-1.389658
1.504431,-1.371248
1.474817,-1.383473
1.508091,-1.369737
1.504431,-1.371248
1.576928,-1.341319
1.508091,-1.369737
1.656444,-1.308494
1.576928,-1.341319
1.660877,-1.306664
1.656444,-1.308494
1.698014,-1.291333
1.660877,-1.306664
1.717994,-1.283084
1.698014,-1.291333
2.037515,-1.151180
1.717994,-1.283084
2.057495,-1.142931
2.037515,-1.151180
2.094633,-1.127600
2.057495,-1.142931
2.099065,-1.125770
2.094633,-1.127600
2.177552,-1.093370
2.099065,-1.125770
2.300776,-1.042500
2.177552,-1.093370
2.403807,-0.999967
2.300776,-1.042500
2.412952,-0.996192
2.403807,-0.999967
2.616189,-0.912291
2.412952,-0.996192
2.625335,-0.908516
2.616189,-0.912291
2.704374,-0.875887
2.625335,-0.908516
-2.037598,-2.725777
-2.685655,-2.993309
-1.550851,-2.524839
-2.037598,-2.725777
-1.428572,-2.474359
-1.550851,-2.524839
-1.410329,-2.466828
-1.428572,-2.474359
-1.327174,-2.432500
-1.410329,-2.466828
-1.222766,-2.389398
-1.327174,-2.432500
-1.214641,-2.386044
-1.222766,-2.389398
-0.983711,-2.290711
-1.214641,-2.386044
-0.975586,-2.287357
-0.983711,-2.290711
-0.901750,-2.256876
-0.975586,-2.287357
-0.825953,-2.225586
-0.901750,-2.256876
-0.817450,-2.222075
-0.825953,-2.225586
-0.597538,-2.131291
-0.817450,-2.222075
-0.589035,-2.127781
-0.597538,-2.131291
-0.485404,-2.085000
-0.589035,-2.127781
-0.374927,-2.039393
-0.485404,-2.085000
-0.294648,-2.006252
-0.374927,-2.039393
-0.290269,-2.004445
-0.294648,-2.006252
-0.253684,-1.989341
-0.290269,-2.004445
-0.234103,-1.981258
-0.253684,-1.989341
0.092747,-1.846327
-0.234103,-1.981258
0.112328,-1.838244
0.092747,-1.846327
0.148914,-1.823141
0.112328,-1.838244
0.153293,-1.821333
0.148914,-1.823141
0.230604,-1.789417
0.153293,-1.821333
0.297856,-1.761654
0.230604,-1.789417
0.301500,-1.760150
0.297856,-1.761654
0.330970,-1.747984
0.301500,-1.760150
0.345864,-1.741835
0.330970,-1.747984
0.786412,-1.559968
